RENDERING,TAG,TAG1,FUNCTIONAL_TAGS,,
PolicyBanner,Cookies&Privacy,,Post-Booking,,
PopUnder,Destination,,Promo&Marketing,,
PriceJumpPopup,Payment,,Post-Booking,,
PricePromise,Payment,,CustomerSupport,,
PriceToggle,Payment,,Tradeportal,,
ProductUnavailablePopup,Mixed,,Post-Booking,,
PromoBlocks,Promocodes,,Mixed / Static,,
PromoMerchBanner,Promocodes,,Promo&Marketing,,
PromocodeInput,Promocodes,,Pre-Booking,,
PromopageSearchPod,Promocodes,,Search,,
ProtectedBlocks,Mixed,,Mixed / Static,,
QuestionAndAnswer,CustomerSatisfaction,,Destination,,
RedeemVoucher,Promocodes,,Pre-Booking ,,
RoomTypes,Booking,,Pre-Booking,,
RoomTypesBrowse,Booking,,Destination,,
Schema,Mixed,,Mixed / Static,,
SearchPod,Search,,Search,,
SearchPodWithHeader,Search,,Search,Doesn't not have links to the pages,
SearchPodInner,Search,,,"Doesn't have rendering, it is part of SearchPod",
SearchpodLink,Search,,,"Doesn't have rendering, it is part of SearchPod",
SearchPodFilters,Search,,Search,,
SearchResults,Search,,Search,,
Offers,Promocodes,,,"Doesn't have rendering, it is part of SearchResults",
SearchResultsMap,Search,,Search,,
SeatsAndBags,Booking,,Pre-Booking / Post-Booking,,
SeatMap,Booking,,Pre-Booking / Post-Booking,,
SeatsNotAvailablePopup,Booking,,Pre-Booking / Post-Booking,,
Shortlists,Hotel,,Shortlist,,
ShortlistsNoResults,Mixed,,Shortlist,,
SitemapBlock,Mixed,,Mixed / Static,,
SlicedBanner,Mixed,,Mixed / Static,,
SocialMediaContent,CustomerSatisfaction,,Tradeportal,,
SpecialRequests,CustomerSatisfaction,,Pre-Booking / Post-Booking,,
SubscribeBlock,Account,,Mixed / Static,,
SuccessfulAmendmentPopup,PostBooking,,Post-Booking,,
TabSearchPod,Search,,Destination,Doesn't not have links to the pages,
Tabs,Mixed,,Mixed / Static,,
TabsBooking,Booking,PostBooking,Pre-Booking,,
TabsBrowse,Mixed,,Destination,Doesn't not have links to the pages,
TextBlock,Mixed,,Mixed / Static,,
TradePortalBookingConfirmation,Tradeportal,,Tradeportal,,
TradePortalConfirmBookingDetails,Tradeportal,,Tradeportal,,
TradePortalFeedback,Tradeportal,,Tradeportal,,
TradePortalFindBooking,Tradeportal,,Tradeportal,,
TradePortalGroupBooking,Tradeportal,,Tradeportal,,
TradePortalLoginForm,Tradeportal,,Tradeportal,,
TradePortalPageHeader,Tradeportal,,Tradeportal,,
TradePortalViewBooking,Tradeportal,,Tradeportal,,
TradePortalViewBookingCost,Tradeportal,,Tradeportal,,
TravelAware,Destination,,Destination,Doesn't not have links to the pages,
TravelChecklist,Destination,,Post-Booking,,
TravelGroupTab,Destination,,Mixed / Static,,
TravelInsurance,Destination,,Mixed / Static,,
AmendNoTransfersPopup,PostBooking,,Post-Booking,,
AmendRestrictions,PostBooking,,Post-Booking,,
CardPayments,Payment,,Post-Booking,,
RefundInfo,Payment,,Post-Booking,,
TransferInstructions,Destination,,Post-Booking,,
ViewBooking,Booking,,Post-Booking,,
ViewBookingInventoryError,Booking,,,"Doesn't have rendering, it is part ViewBooking component",
ViewBookings,Booking,,Post-Booking,,
WeatherDataCarousel,Mixed,,Destination,,
WhyBookWithUsCarousel,Booking,,Mixed / Static,,
WhyBookWithUsCarouselComponent,Booking,,,"Doesn't have rendering, it is part WhyBookWithUsCarousel component",
WiderSearch,Search,,Search,,
IframeHolidaysPromotingHeader,External,,,,
FooterAllHolidaysAndFlights,Mixed,,Mixed / Static,,
FooterTile,Mixed,,Mixed / Static,,
PageFooterColumn,Mixed,,Mixed / Static,,
PageFooterCopyright,Mixed,,Mixed / Static,,
PageFooterRow,Mixed,,Mixed / Static,,
PageFooterSlim,Mixed,,Mixed / Static,,
Image,Mixed,,Mixed / Static,,
Imagery,Mixed,,Mixed / Static,,
PageHeader,Mixed,,Mixed / Static,,
PersistentInfoBanner,Mixed,,Mixed / Static,,
AmendPageHeader,PostBooking,,,"Doesn't have rendering, it is part Common component",
